dataset,model,ablation,attack_average_set_size_mean,attack_average_set_size_std,attack_coverage_mean,attack_coverage_std,attack_singleton_rate_mean,attack_singleton_rate_std,average_set_size_mean,average_set_size_std,balanced_accuracy_mean,balanced_accuracy_std,benign_average_set_size_mean,benign_average_set_size_std,benign_coverage_mean,benign_coverage_std,benign_singleton_rate_mean,benign_singleton_rate_std,brier_score_mean,brier_score_std,conformal_calibration_size_mean,conformal_calibration_size_std,conformal_coverage_mean,conformal_coverage_std,ece_mean,ece_std,end_to_end_latency_ms_per_sample_mean,end_to_end_latency_ms_per_sample_std,latency_batch_size_mean,latency_batch_size_std,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_repeats_mean,latency_repeats_std,macro_f1_mean,macro_f1_std,macro_pr_auc_mean,macro_pr_auc_std,mcc_mean,mcc_std,model_only_latency_ms_per_sample_mean,model_only_latency_ms_per_sample_std,probability_calibration_size_mean,probability_calibration_size_std,singleton_rate_mean,singleton_rate_std
unsw_nb15,logistic_regression,full,1.7722844789552634,0.05270373678279221,0.8107738462895966,0.0,0.22771552104473664,0.05270373678279217,1.592731866103095,0.03391499779139749,0.6730857159550798,0.0,1.3727459459459461,0.010895237900643388,0.9920432432432433,0.010895237900643309,0.6272540540540541,0.010895237900643291,0.43336753191645594,0.0062704122873077405,17534.0,0.0,0.8922363115192148,0.004896319806682694,0.16426726356961624,0.006548922493551067,0.00824009530489401,0.0007212142022338802,82332.0,0.0,0.00824009530489401,0.0007212142022338802,3.0,0.0,0.6725876468922353,0.0,0.7612704091355603,0.0,0.34539212608524844,0.0,0.00010420419767295779,7.93265885699324e-06,17534.0,0.0,0.4072681338969052,0.03391499779139747
unsw_nb15,logistic_regression,platt_full,1.689909997352863,0.006431253689005368,0.7841701226506662,0.0052308865369401596,0.31009000264713665,0.006431253689005429,1.5388111548365155,0.004691996267606117,0.6649756134321916,0.0022867782831752902,1.3536864864864866,0.002576697848843821,0.9810000000000001,0.0012603117403960976,0.6463135135135135,0.002576697848843869,0.4226466777468188,0.003853330959819641,17534.0,0.0,0.8726254676189088,0.003062753800772538,0.1647409523307036,0.004026842528030774,0.00784130771356038,0.0001339878282470388,82332.0,0.0,0.00784130771356038,0.0001339878282470388,3.0,0.0,0.6637257731613566,0.0025196318321424552,0.7749515410241024,0.0,0.32858267566388716,0.004681740138326761,0.00010232764900992295,6.210135271131876e-06,17534.0,0.0,0.46118884516348446,0.004691996267606186
unsw_nb15,logistic_regression,risk_aware_full_b0.01_a0.001,1.9615106326656666,0.05270373678279221,1.0,0.0,0.03848936733433336,0.052703736782792165,1.9752319875625517,0.03391499779139753,0.6730857159550798,0.0,1.9920432432432431,0.010895237900643341,0.9920432432432433,0.010895237900643309,0.007956756756756757,0.010895237900643305,0.43336753191645594,0.0062704122873077405,17534.0,0.0,0.9964242335908274,0.004896319806682767,0.16426726356961624,0.006548922493551067,0.007765423569900938,0.0001327064359598727,82332.0,0.0,0.007765423569900938,0.0001327064359598727,3.0,0.0,0.6725876468922353,0.0,0.7612704091355603,0.0,0.34539212608524844,0.0,0.00010730554349268006,5.560394301300263e-06,17534.0,0.0,0.024768012437448382,0.03391499779139747
unsw_nb15,logistic_regression,risk_aware_platt_full_b0.01_a0.001,1.8465807817876996,0.006254169699490761,0.9408409070855026,0.005588896942336408,0.15341921821230037,0.006254169699490716,1.6449521449740074,0.004262356559580264,0.6649756134321916,0.0022867782831752902,1.397918918918919,0.001885123026213206,0.9810000000000001,0.0012603117403960976,0.6020810810810812,0.00188512302621314,0.4226466777468188,0.003853330959819641,17534.0,0.0,0.9588884030510616,0.0031545969596072903,0.1647409523307036,0.004026842528030774,0.008246750878699223,0.0008888216756422671,82332.0,0.0,0.008246750878699223,0.0008888216756422671,3.0,0.0,0.6637257731613566,0.0025196318321424552,0.7749515410241024,0.0,0.32858267566388716,0.004681740138326761,0.00010289551244490926,7.116012736703515e-06,17534.0,0.0,0.35504785502599234,0.004262356559580306
unsw_nb15,mlp,full,1.733336274596312,0.11205942562407312,0.8003750110297361,0.14015337849473689,0.2666637254036884,0.11205942562407309,1.5750206481076616,0.0676141006780489,0.6532268579441526,0.06268932983682494,1.381054054054054,0.014003325807614925,0.9899891891891892,0.009716518808955764,0.6189459459459459,0.014003325807614956,0.4571949123694038,0.10116667393019614,17534.0,0.0,0.8855876208521595,0.07607252090201846,0.18783894935123752,0.07431500772077856,0.00836847868004176,0.0008216309375672318,82332.0,0.0,0.00836847868004176,0.0008216309375672318,3.0,0.0,0.6473886234149878,0.06838589342317349,0.7542260510938003,0.06117683553696286,0.30727212846502794,0.12388354067161354,0.0002865831835798748,2.211391374210156e-05,17534.0,0.0,0.4249793518923384,0.06761410067804889
unsw_nb15,mlp,platt_full,1.632921556516368,0.10948234196162654,0.7689755581046501,0.11198467330085196,0.3670784434836319,0.10948234196162648,1.5079750279356752,0.062458031545061216,0.6643681623386379,0.05847537248675903,1.3548918918918917,0.0070644274973698665,0.9768972972972974,0.005554313796780388,0.645108108108108,0.007064427497369846,0.4458656620279224,0.09519273262382007,17534.0,0.0,0.8624155856775009,0.06320963372577121,0.16647161948293449,0.06457788549582003,0.0080746617756703,0.0005094154013382341,82332.0,0.0,0.0080746617756703,0.0005094154013382341,3.0,0.0,0.66189266863129,0.061822501417978945,0.7727641404191268,0.05573236308572605,0.32943123903646593,0.11884081434602381,0.0002923138026903045,6.606266038730385e-05,17534.0,0.0,0.49202497206432494,0.06245803154506125
unsw_nb15,mlp,risk_aware_full_b0.01_a0.001,1.9329612635665754,0.0713444636022635,1.0,0.0,0.06703873643342452,0.07134446360226343,1.9585896127872515,0.04218422417070374,0.6532268579441526,0.06268932983682494,1.989989189189189,0.009716518808955764,0.9899891891891892,0.009716518808955764,0.010010810810810811,0.009716518808955799,0.4571949123694038,0.10116667393019614,17534.0,0.0,0.9955011417188941,0.004366603458331663,0.18783894935123752,0.07431500772077856,0.007247907577485999,0.002247138544247839,82332.0,0.0,0.007247907577485999,0.002247138544247839,3.0,0.0,0.6473886234149878,0.06838589342317349,0.7542260510938003,0.06117683553696286,0.30727212846502794,0.12388354067161354,0.0002556579863105488,3.9879338359694974e-05,17534.0,0.0,0.04141038721274838,0.04218422417070372
unsw_nb15,mlp,risk_aware_platt_full_b0.01_a0.001,1.795164563663637,0.0689498081697193,0.9312185652519192,0.03923912003615802,0.20483543633636284,0.06894980816971927,1.617091774765583,0.03942599843405271,0.6643681623386379,0.05847537248675903,1.398918918918919,0.01180791912154754,0.9768972972972974,0.005554313796780388,0.601081081081081,0.01180791912154758,0.4458656620279224,0.09519273262382007,17534.0,0.0,0.9517465869892631,0.023280339437739016,0.16647161948293449,0.06457788549582003,0.008111640269252245,0.000285069002221308,82332.0,0.0,0.008111640269252245,0.000285069002221308,3.0,0.0,0.66189266863129,0.061822501417978945,0.7727641404191268,0.05573236308572605,0.32943123903646593,0.11884081434602381,0.00026261939452889747,8.638483760482601e-06,17534.0,0.0,0.38290822523441675,0.03942599843405267
unsw_nb15,random_forest,full,1.0044692490955618,0.001329492755764215,0.39537192270360894,0.0014907699354869,0.9955307509044384,0.0013294927557641863,1.0372370402759559,0.01256801810281746,0.5556328173404146,0.0008296307789580609,1.0773837837837839,0.026338343289701444,0.8218702702702704,0.0017443847090445575,0.9226162162162161,0.026338343289701506,0.7175144455433109,0.03162643371687408,17534.0,0.0,0.5870402759558859,0.0006255103065736056,0.39320843951606566,0.010574095105765246,0.010777586681403786,0.00030526839516041153,82332.0,0.0,0.010777586681403786,0.00030526839516041153,3.0,0.0,0.5345890858249949,0.0007011292508983104,0.7691299011605838,0.002292519802413268,0.11631663010599894,0.001789247066244002,0.0030192038736487014,0.00012456117617647958,17534.0,0.0,0.9627629597240441,0.012568018102817446
unsw_nb15,random_forest,platt_full,1.0012750375011028,0.0005197803397167497,0.39421600635312803,0.0003633456931948284,0.998724962498897,0.000519780339716677,1.013681193217704,0.00428743796717473,0.5561237913197765,0.0017575668599966426,1.0288810810810811,0.008930083102752213,0.7929945945945945,0.008723941684230858,0.971118918918919,0.008930083102752203,0.7176543395291863,0.027190405155364226,17534.0,0.0,0.5734271000340087,0.0038327204715333596,0.38895398986786633,0.009573669241797854,0.01080423059487581,0.0003614612889698906,82332.0,0.0,0.01080423059487581,0.0003614612889698906,3.0,0.0,0.5349407714916274,0.0014285133394354116,0.8014604381900892,0.002405290672203143,0.1174020221110732,0.0038063480089673978,0.0029731198886194057,0.0001887049189574288,17534.0,0.0,0.9863188067822961,0.004287437967174727
