dataset,model,ablation,seed,macro_f1,mcc,balanced_accuracy,macro_pr_auc,brier_score,ece,latency_ms_per_sample,model_only_latency_ms_per_sample,end_to_end_latency_ms_per_sample,latency_repeats,latency_batch_size,probability_calibration_size,conformal_calibration_size,conformal_coverage,average_set_size,singleton_rate,benign_coverage,benign_average_set_size,benign_singleton_rate,attack_coverage,attack_average_set_size,attack_singleton_rate
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_platt_full_b0.05_a0.005,23,0.5632195476722591,0.16825246436251123,0.5399849364140179,0.9992516273758788,0.025311607847650637,0.005887832330477322,0.0031536466860568385,7.589640987277799e-05,0.0031536466860568385,3,79995,31998,31998,0.9945371585724108,1.1024689043065192,0.8975310956934809,0.9328097731239092,1.7888307155322862,0.2111692844677138,0.995434311151695,1.0924932465852453,0.9075067534147547
cic_iot_diad_2024_raw_proportion,random_forest,full,23,0.751171641847258,0.5048037270040602,0.7294927629914133,0.9953355031438446,0.01686167704796921,0.0012272994789940183,0.005038969102424751,0.0018908156759885287,0.005038969102424751,3,79995,31998,31998,0.9908869304331521,1.9810613163322708,0.018938683667729234,1.0,1.3141361256544504,0.6858638743455497,0.9907544800821824,1.9907544800821824,0.0092455199178176
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_full_b0.05_a0.005,23,0.751171641847258,0.5048037270040602,0.7294927629914133,0.9953355031438446,0.01686167704796921,0.0012272994789940183,0.005094741754620206,0.0019257686937183098,0.005094741754620206,3,79995,31998,31998,0.9963122695168448,1.9915994749671855,0.00840052503281455,1.0,1.6710296684118673,0.32897033158813266,0.9962586716381945,1.9962586716381945,0.003741328361805476
cic_iot_diad_2024_raw_proportion,random_forest,platt_full,23,0.7078647123220685,0.4414377778846517,0.6574498981053255,0.9997535453379757,0.01695708341515469,0.0018528658846324987,0.005260583786516814,0.0019378119464420755,0.005260583786516814,3,79995,31998,31998,0.9898868679292456,1.058278642415151,0.9417213575848491,0.9982547993019197,1.2853403141361257,0.7146596858638743,0.989765247498383,1.0549785032150059,0.9450214967849941
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_platt_full_b0.05_a0.005,23,0.7078647123220685,0.4414377778846517,0.6574498981053255,0.9997535453379757,0.01695708341515469,0.0018528658846324983,0.005160166260301241,0.0018754605496126488,0.005160166260301241,3,79995,31998,31998,0.994449653103319,1.0336646040377524,0.9663353959622476,0.9581151832460733,1.4712041884816753,0.5287958115183246,0.9949777422668645,1.0273053558066685,0.9726946441933315
cic_iot_diad_2024_raw_proportion,xgboost,full,23,0.4963926871647655,0.0,0.5,0.9996243352594714,0.01833263075981722,0.00019015311901346272,0.004530431485255626,0.0011521482593636141,0.004530431485255626,3,79995,31998,31998,0.9999124945309081,1.0602912682042627,0.9397087317957372,0.993891797556719,1.993891797556719,0.006108202443280977,1.0,1.0467222158809877,0.9532777841190123
cic_iot_diad_2024_raw_proportion,xgboost,risk_aware_full_b0.05_a0.005,23,0.4963926871647655,0.0,0.5,0.9996243352594714,0.01833263075981722,0.00019015311901346272,0.004432192845318353,0.001089873950302329,0.004432192845318353,3,79995,31998,31998,0.9995999749984374,1.0438652415775986,0.9561347584224014,0.9720767888307156,1.9720767888307156,0.027923211169284468,1.0,1.0303745133102513,0.9696254866897488
cic_iot_diad_2024_raw_proportion,xgboost,platt_full,23,0.701953389732024,0.424906142161023,0.6559063719048385,0.9998701398509824,0.01689174370867928,0.0008429159126190078,0.004585586599003616,0.0009310927767805087,0.004585586599003616,3,79995,31998,31998,0.9895868491780736,1.039689980623789,0.960310019376211,0.993891797556719,1.330715532286213,0.6692844677137871,0.9895242805869446,1.035460183388502,0.9645398166114979
cic_iot_diad_2024_raw_proportion,xgboost,risk_aware_platt_full_b0.05_a0.005,23,0.701953389732024,0.424906142161023,0.6559063719048385,0.9998701398509824,0.01689174370867928,0.0008429159126190078,0.004626905431226509,0.0010736075168219417,0.004626905431226509,3,79995,31998,31998,0.9939871241952623,1.0267266704169011,0.973273329583099,0.9450261780104712,1.493019197207679,0.5069808027923212,0.994698727948357,1.0199495237732883,0.9800504762267118
cic_iot_diad_2024_raw_proportion,mlp,full,23,0.4963926871647655,0.0,0.5,0.9995911092056685,0.02193303750300199,0.0007826618991428407,0.004796964810137379,0.00027784319867280597,0.004796964810137379,3,79995,31998,31998,1.0,1.974460903806488,0.025539096193512096,1.0,2.0,0.0,1.0,1.9740897157858692,0.025910284214130806
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_full_b0.05_a0.005,23,0.4963926871647655,0.0,0.5,0.9995911092056685,0.02193303750300199,0.0007826618991428407,0.0029075721399167624,0.00019309873536626834,0.0029075721399167624,3,79995,31998,31998,0.9995374710919432,1.076417276079755,0.923582723920245,0.9677137870855148,1.9677137870855148,0.03228621291448516,1.0,1.0634630749914393,0.9365369250085607
cic_iot_diad_2024_raw_proportion,mlp,platt_full,23,0.5840832519935428,0.21919238057988485,0.5531944251053392,0.9996857776737407,0.022364221310706305,0.002504554975025661,0.003120318769657782,0.00019807321297856528,0.003120318769657782,3,79995,31998,31998,0.9899868741796363,1.1094818426151634,0.8905181573848365,0.9965095986038395,1.6657940663176265,0.33420593368237345,0.9898920721886136,1.10139633983944,0.89860366016056
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_platt_full_b0.05_a0.005,23,0.5840832519935428,0.21919238057988485,0.5531944251053392,0.9996857776737407,0.022364221310706305,0.002504554975025661,0.0032978173634094225,0.0002084563619174453,0.0032978173634094225,3,79995,31998,31998,0.9943121445090318,1.0579661228826802,0.9420338771173198,0.9450261780104712,1.7260034904013961,0.27399650959860383,0.9950284721429568,1.0482567946327792,0.9517432053672209
cic_iot_diad_2024_raw_proportion,logistic_regression,full,37,0.4963926871647655,0.0,0.5,0.9980828727557839,0.024381158227559204,0.0006179636704059102,0.0030428664290006466,7.788195120180453e-05,0.0030428664290006466,3,79995,31998,31998,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_full_b0.05_a0.005,37,0.4963926871647655,0.0,0.5,0.9980828727557839,0.024381158227559204,0.0006179636704059102,0.003065329083205101,7.477675676721483e-05,0.003065329083205101,3,79995,31998,31998,0.9994499656228514,1.1264454028376774,0.8735545971623226,0.9616055846422339,1.9616055846422338,0.038394415357766144,1.0,1.1143070933049246,0.8856929066950754
cic_iot_diad_2024_raw_proportion,logistic_regression,platt_full,37,0.5632195476722591,0.16825246436251123,0.5399849364140179,0.9992516273758788,0.025366087839065615,0.005927463480351009,0.003004531949891407,7.020105420425464e-05,0.003004531949891407,3,79995,31998,31998,0.9892743296456028,1.5367085442840178,0.46329145571598224,0.9965095986038395,1.7792321116928447,0.22076788830715532,0.9891691714542987,1.5331836801988612,0.4668163198011389
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_platt_full_b0.05_a0.005,37,0.5632195476722591,0.16825246436251123,0.5399849364140179,0.9992516273758788,0.025366087839065615,0.005927463480351009,0.003026267891812181,7.273996281478421e-05,0.003026267891812181,3,79995,31998,31998,0.9942121382586412,1.1102193887117946,0.8897806112882055,0.9581151832460733,1.8045375218150088,0.19546247818499127,0.9947367753554262,1.100128092937133,0.899871907062867
cic_iot_diad_2024_raw_proportion,random_forest,full,37,0.7273016473993891,0.47247772483722356,0.68037088785052,0.9957918167775888,0.016793691728786628,0.0012463799759559822,0.005178762422999336,0.0019892297434372054,0.005178762422999336,3,79995,31998,31998,0.9932870804425277,1.9848740546284143,0.015125945371585724,1.0,1.412739965095986,0.587260034904014,0.9931895141346118,1.9931895141346117,0.006810485865388274
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_full_b0.05_a0.005,37,0.7273016473993891,0.47247772483722356,0.68037088785052,0.9957918167775888,0.016793691728786628,0.0012463799759559822,0.005131431130996342,0.001998309894537344,0.005131431130996342,3,79995,31998,31998,0.9961247577973623,1.0338646165385337,0.9661353834614663,0.9450261780104712,1.581151832460733,0.418848167539267,0.9968674301513019,1.0259102842141308,0.9740897157858692
