dataset,model,ablation,covered,sample_count,mean_true_label_probability,median_true_label_probability,mean_max_probability,median_max_probability,mean_probability_margin,median_probability_margin,unique_max_probability_6dp,unique_true_label_probability_6dp
cic_iot_diad_2024_raw_proportion,logistic_regression,full,1,399975,0.9754798411863973,0.9996213236840998,0.9855945582729178,0.9996213236840998,0.9711891165458355,0.9992426473681998,50,100
cic_iot_diad_2024_raw_proportion,logistic_regression,platt_full,0,4151,0.6658683493149896,0.7530566038094257,0.7386543153093185,0.7755264136559306,0.4773086306186371,0.5510528273118612,4095,4099
cic_iot_diad_2024_raw_proportion,logistic_regression,platt_full,1,395824,0.9792045596280402,0.9991327362518492,0.9894065528822116,0.9991327883580305,0.9788131057644233,0.9982655767160613,53840,55298
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_full_b0.05_a0.005,0,266,0.005867887295451024,0.0020590253946465,0.9941321127045489,0.9979409746053536,0.9882642254090979,0.995881949210707,23,23
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_full_b0.05_a0.005,1,399709,0.9761251025633865,0.9996213236840998,0.9855888766658515,0.9996213236840998,0.9711777533317032,0.9992426473681998,50,77
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_platt_full_b0.05_a0.005,0,2329,0.4735142384219865,0.5409488047627151,0.6985271147482026,0.6717697171071775,0.3970542294964052,0.3435394342143549,2306,2310
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_platt_full_b0.05_a0.005,1,397646,0.9788954760438457,0.9991131756845115,0.9884926386802556,0.9991131756845115,0.9769852773605113,0.998226351369023,55792,57071
cic_iot_diad_2024_raw_proportion,mlp,full,0,41,0.0,0.0,1.0,1.0,1.0,1.0,1,1
cic_iot_diad_2024_raw_proportion,mlp,full,1,399934,0.9782436358353883,0.9999288281555816,0.9858328233222473,0.9999288281555816,0.9716656466444947,0.9998576563111633,40,78
cic_iot_diad_2024_raw_proportion,mlp,platt_full,0,4060,0.6247101016106262,0.6974813512326578,0.6917744640442983,0.7113465187391552,0.38354892808859653,0.42269303747831033,4011,4017
cic_iot_diad_2024_raw_proportion,mlp,platt_full,1,395915,0.9821020317808863,0.9999541281104296,0.989828678483662,0.9999541281104296,0.9796573569673237,0.9999082562208593,39603,39962
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_full_b0.05_a0.005,0,254,0.017867419612264207,0.0125523012552301,0.9821325803877359,0.98744769874477,0.9642651607754715,0.9748953974895399,23,23
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_full_b0.05_a0.005,1,399721,0.9787535604324233,0.9999288281555816,0.9858366277657195,0.9999288281555816,0.9716732555314391,0.9998576563111633,40,56
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_platt_full_b0.05_a0.005,0,2300,0.4556154142163522,0.5478626451186401,0.689281699327328,0.6546813271906279,0.3785633986546558,0.30936265438125576,2280,2284
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_platt_full_b0.05_a0.005,1,397675,0.9814982925061195,0.9999528110357366,0.9885239898344778,0.9999528110357366,0.9770479796689557,0.9999056220714732,41384,41683
cic_iot_diad_2024_raw_proportion,random_forest,full,0,3474,0.4949095083643066,0.5052631578947369,0.5868726123832154,0.6006530809699462,0.17374522476643087,0.20130616193989248,47,47
cic_iot_diad_2024_raw_proportion,random_forest,full,1,396501,0.9873917497725685,0.9992183171669072,0.9909809074331164,0.9992183171669072,0.981961814866233,0.9984366343338147,95,142
cic_iot_diad_2024_raw_proportion,random_forest,platt_full,0,3894,0.5527564381001101,0.6132593637903878,0.6582768309896035,0.6582652053847469,0.316553661979207,0.31653041076949356,1676,1677
cic_iot_diad_2024_raw_proportion,random_forest,platt_full,1,396081,0.9873304356189785,0.9999265544219016,0.9916608496053901,0.9999265544219016,0.9833216992107804,0.9998531088438032,5386,5858
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_full_b0.05_a0.005,0,1377,0.36398696964870103,0.3605906526433098,0.6361316373224739,0.6394093473566901,0.2722632746449478,0.2788186947133803,19,19
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_full_b0.05_a0.005,1,398598,0.9852531165520763,0.9992183171669072,0.9886847474622661,0.9992183171669072,0.9773694949245324,0.9984366343338147,95,170
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_platt_full_b0.05_a0.005,0,2102,0.3671387163903598,0.4277687308223493,0.675318769512341,0.6054611852822658,0.3506375390246821,0.21092237056453148,888,888
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_platt_full_b0.05_a0.005,1,397873,0.9863537718279699,0.9999265544219016,0.9900692705936596,0.9999265544219016,0.9801385411873192,0.9998531088438032,6018,6645
cic_iot_diad_2024_raw_proportion,xgboost,full,0,16,0.0015135527103263284,1.68168976187273e-05,0.9984864472896737,0.9999831831023812,0.9969728945793473,0.9999663662047624,4,4
cic_iot_diad_2024_raw_proportion,xgboost,full,1,399959,0.9817076850700542,0.999966334500404,0.9854801689732221,0.999966334500404,0.9709603379464441,0.9999326690008079,46,89
cic_iot_diad_2024_raw_proportion,xgboost,platt_full,0,3939,0.5269881245473647,0.5375255999181896,0.5751747174437289,0.5642043650855091,0.15034943488745794,0.12840873017101817,2913,2918
