dataset,model,ablation,covered,sample_count,mean_true_label_probability,median_true_label_probability,mean_max_probability,median_max_probability,mean_probability_margin,median_probability_margin,unique_max_probability_6dp,unique_true_label_probability_6dp
unsw_nb15,logistic_regression,full,0,44362,0.12001023985128552,0.2074303405572755,0.8799897601487144,0.7925696594427245,0.7599795202974289,0.585139318885449,12,12
unsw_nb15,logistic_regression,full,1,367298,0.7383422206994161,0.8723702664796634,0.8296239755381364,0.8864306784660767,0.6592479510762727,0.7728613569321534,50,87
unsw_nb15,logistic_regression,platt_full,0,52435,0.1969437631019293,0.2030226847430878,0.8030562368980706,0.7969773152569122,0.6061124737961414,0.5939546305138244,48713,48713
unsw_nb15,logistic_regression,platt_full,1,359225,0.7414162757418654,0.8594320534666035,0.83420142432934,0.878952852712743,0.6684028486586797,0.7579057054254861,206218,225749
unsw_nb15,logistic_regression,risk_aware_full_b0.01_a0.001,0,1472,0.0060267610996759995,0.006026761099676,0.993973238900324,0.993973238900324,0.9879464778006479,0.9879464778006479,2,2
unsw_nb15,logistic_regression,risk_aware_full_b0.01_a0.001,1,410188,0.674097350108726,0.7931873479318735,0.8344812722440987,0.8864306784660767,0.6689625444881976,0.7728613569321534,50,97
unsw_nb15,logistic_regression,risk_aware_platt_full_b0.01_a0.001,0,16924,0.06273568902623168,0.057771855296608096,0.9372643109737683,0.9422281447033918,0.8745286219475367,0.8844562894067836,15676,15676
unsw_nb15,logistic_regression,risk_aware_platt_full_b0.01_a0.001,1,394736,0.6981888377815586,0.8151149823950256,0.8256454927788126,0.8542553869251177,0.6512909855576253,0.7085107738502354,227268,253917
unsw_nb15,mlp,full,0,47099,0.12961556937023638,0.0062689148292261,0.8703844306297636,0.993731085170774,0.7407688612595272,0.9874621703415479,12,12
unsw_nb15,mlp,full,1,364561,0.7276406608870145,0.8108747044917257,0.8280936718807135,0.8754045307443366,0.6561873437614268,0.7508090614886731,50,87
unsw_nb15,mlp,platt_full,0,56638,0.15934728948021906,0.15429163875132706,0.8406527105197809,0.8457083612486729,0.6813054210395619,0.6914167224973458,51989,51989
unsw_nb15,mlp,platt_full,1,355022,0.7418151380668918,0.8528033450531419,0.8285284254438471,0.8763311953712888,0.657056850887694,0.7526623907425776,204326,223146
unsw_nb15,mlp,risk_aware_full_b0.01_a0.001,0,1852,0.004265940286669034,0.0043501903208265,0.9957340597133311,0.9956498096791736,0.991468119426662,0.9912996193583471,3,3
unsw_nb15,mlp,risk_aware_full_b0.01_a0.001,1,409808,0.6621790451967476,0.7401812688821753,0.8321965260174202,0.8754045307443366,0.6643930520348402,0.7508090614886731,50,96
unsw_nb15,mlp,risk_aware_platt_full_b0.01_a0.001,0,19864,0.046560572697871457,0.0414990086905183,0.9534394273021285,0.9585009913094815,0.906878854604257,0.9170019826189633,17930,17930
unsw_nb15,mlp,risk_aware_platt_full_b0.01_a0.001,1,391796,0.6928629350792102,0.7952417434321037,0.8239481416155737,0.8543097482735414,0.6478962832311475,0.7086194965470829,225970,252691
unsw_nb15,random_forest,full,0,169999,0.10691840905088813,0.0828848223896663,0.8933620625868117,0.9171151776103338,0.7867241251736236,0.8342303552206675,84,84
unsw_nb15,random_forest,full,1,241661,0.9259663423293754,0.999422298669582,0.9570075107760266,0.999422298669582,0.9140150215520533,0.998844597339164,93,102
unsw_nb15,random_forest,platt_full,0,175603,0.11161446198327393,0.0899108532749809,0.8889152442581401,0.9100891467250192,0.77783048851628,0.8201782934500382,973,973
unsw_nb15,random_forest,platt_full,1,236057,0.9399325315978989,0.999897232468874,0.9584516061995074,0.999897232468874,0.9169032123990148,0.9997944649377478,1055,1102
unsw_nb15,random_forest,risk_aware_full_b0.01_a0.001,0,91744,0.04041782609505476,0.0226892763315022,0.9595821739049452,0.9773107236684976,0.9191643478098904,0.9546214473369954,50,50
unsw_nb15,random_forest,risk_aware_full_b0.01_a0.001,1,319916,0.7446888615656497,0.9993618355918338,0.9224488377468006,0.9993618355918338,0.8448976754936013,0.9987236711836677,93,136
