dataset,model,ablation,seed,macro_f1,mcc,balanced_accuracy,macro_pr_auc,brier_score,ece,latency_ms_per_sample,model_only_latency_ms_per_sample,end_to_end_latency_ms_per_sample,latency_repeats,latency_batch_size,probability_calibration_size,conformal_calibration_size,conformal_coverage,average_set_size,singleton_rate,benign_coverage,benign_average_set_size,benign_singleton_rate,attack_coverage,attack_average_set_size,attack_singleton_rate
cic_iot_diad_2024,logistic_regression,full,11,0.9197447828393366,0.842924832948941,0.919901091723087,0.9631242604829183,0.12998467865424865,0.002874628942974312,0.007430626822996044,0.00015810577610998692,0.007430626822996044,3,79980,31993,31992,0.9966741685421355,1.635096274068517,0.36490372593148285,0.9933470061527687,1.9933470061527687,0.006652993847231254,1.0,1.2769888494424722,0.7230111505575278
cic_iot_diad_2024,logistic_regression,risk_aware_full_b0.01_a0.001,11,0.9197447828393366,0.842924832948941,0.919901091723087,0.9631242604829183,0.12998467865424865,0.002874628942974312,0.007663098691648337,0.00015506126508868178,0.007663098691648337,3,79980,31993,31992,0.9966741685421355,1.635096274068517,0.36490372593148285,0.9933470061527687,1.9933470061527687,0.006652993847231254,1.0,1.2769888494424722,0.7230111505575278
cic_iot_diad_2024,logistic_regression,platt_full,11,0.9187870187254051,0.8388446090502715,0.9188474624321482,0.9687993128123762,0.13361279143548835,0.0194639860013449,0.007073727181816166,0.00017755105466580874,0.007073727181816166,3,79980,31993,31992,0.9885846461615404,1.4991247811952988,0.5008752188047012,0.9896453404031814,1.7490870891901356,0.25091291080986444,0.987524376218811,1.2492624631231561,0.7507375368768439
cic_iot_diad_2024,logistic_regression,risk_aware_platt_full_b0.01_a0.001,11,0.9187870187254051,0.8388446090502715,0.9188474624321482,0.9687993128123762,0.13361279143548835,0.0194639860013449,0.007873089522007824,0.00020967658564980586,0.007873089522007824,3,79980,31993,31992,0.9939859964991248,1.5932983245811452,0.4067016754188547,0.9896453404031814,1.9266670001500674,0.07333299984993247,0.9983249162458123,1.2600630031501574,0.7399369968498425
cic_iot_diad_2024,random_forest,full,11,0.9791021640859541,0.9586961047094272,0.9791104450675487,0.9928913215640802,0.03556081228995652,0.0013984289147349822,0.014934428606596568,0.007198486705018367,0.014934428606596568,3,79980,31993,31992,0.9953863465866467,1.5118529632408102,0.4881470367591898,0.9907708468810965,1.9907708468810965,0.009229153118903507,1.0,1.0331266563328168,0.9668733436671834
cic_iot_diad_2024,random_forest,risk_aware_full_b0.01_a0.001,11,0.9791021640859541,0.9586961047094272,0.9791104450675487,0.9928913215640802,0.03556081228995652,0.0013984289147349822,0.013538204134131626,0.00655172042994794,0.013538204134131626,3,79980,31993,31992,0.9953863465866467,1.5118529632408102,0.4881470367591898,0.9907708468810965,1.9907708468810965,0.009229153118903507,1.0,1.0331266563328168,0.9668733436671834
cic_iot_diad_2024,random_forest,platt_full,11,0.9787255804165806,0.9580731210463543,0.978735746476684,0.9944239984732068,0.03709514637881677,0.007116977711573545,0.013189519463324974,0.00640198591301795,0.013189519463324974,3,79980,31993,31992,0.9894598649662416,1.1225806451612903,0.8774193548387097,0.9905457455855134,1.2238257215747086,0.7761742784252914,0.988374418720936,1.0213760688034401,0.9786239311965599
cic_iot_diad_2024,random_forest,risk_aware_platt_full_b0.01_a0.001,11,0.9787255804165806,0.9580731210463543,0.978735746476684,0.9944239988955513,0.03709514637881677,0.007116977711573545,0.013595747269955218,0.006265358423185067,0.013595747269955218,3,79980,31993,31992,0.9952738184546136,1.51167791947987,0.48832208052013004,0.9905457455855134,1.9905457455855136,0.009454254414486519,1.0,1.033001650082504,0.9669983499174959
cic_iot_diad_2024,xgboost,full,11,0.97596484974689,0.9522766287012627,0.9759716576194475,0.9914320455061694,0.04024276576957606,0.0018628631208710581,0.010274448195452021,0.0010768246226675042,0.010274448195452021,3,79980,31993,31992,0.9946486621655414,1.5132283070767691,0.4867716929232308,0.9892951828322746,1.9892951828322745,0.010704817167725476,1.0,1.0373518675933797,0.9626481324066203
cic_iot_diad_2024,xgboost,risk_aware_full_b0.01_a0.001,11,0.97596484974689,0.9522766287012627,0.9759716576194475,0.9914320455061694,0.04024276576957606,0.0018628631208710581,0.008586471201153297,0.0011115153793868453,0.008586471201153297,3,79980,31993,31992,0.9946486621655414,1.5132283070767691,0.4867716929232308,0.9892951828322746,1.9892951828322745,0.010704817167725476,1.0,1.0373518675933797,0.9626481324066203
cic_iot_diad_2024,xgboost,platt_full,11,0.9764259505395257,0.9533330804094508,0.9764347460282323,0.9938758317157003,0.0397604687301963,0.0017241626269188979,0.008558758439666478,0.0009981924646024077,0.008558758439666478,3,79980,31993,31992,0.9889597399349838,1.1627281820455113,0.8372718179544886,0.9887699464759142,1.2992346555950178,0.7007653444049823,0.9891494574728736,1.0262763138156907,0.9737236861843093
cic_iot_diad_2024,xgboost,risk_aware_platt_full_b0.01_a0.001,11,0.9764259505395257,0.9533330804094508,0.9764347460282323,0.9938758317157003,0.0397604687301963,0.0017241626269188979,0.008510132116350443,0.0010282758188364,0.008510132116350443,3,79980,31993,31992,0.9938609652413103,1.418554638659665,0.5814453613403351,0.9887699464759142,1.8011855334900706,0.19881446650992946,0.9989499474973749,1.036076803840192,0.963923196159808
cic_iot_diad_2024,mlp,full,11,0.9638377022839041,0.9292072671725782,0.96387159786182,0.9860640537217513,0.06185009702158567,0.0014674142632523988,0.007488282904097362,0.0003405067933223551,0.007488282904097362,3,79980,31993,31992,0.9960115028757189,1.5280570142535634,0.4719429857464366,0.9920214096343355,1.9920214096343354,0.00797859036566455,1.0,1.0642782139106954,0.9357217860893045
cic_iot_diad_2024,mlp,risk_aware_full_b0.01_a0.001,11,0.9638377022839041,0.9292072671725782,0.96387159786182,0.9860640537217513,0.06185009702158567,0.0014674142632523988,0.007460887721997673,0.00033967033463095595,0.007460887721997673,3,79980,31993,31992,0.9960115028757189,1.5280570142535634,0.4719429857464366,0.9920214096343355,1.9920214096343354,0.00797859036566455,1.0,1.0642782139106954,0.9357217860893045
cic_iot_diad_2024,mlp,platt_full,11,0.9636794945183238,0.9286513207309542,0.9637085994913022,0.987386019242359,0.06220696008651842,0.005110745524940806,0.007485455947665665,0.0003927298488865955,0.007485455947665665,3,79980,31993,31992,0.9888222055513879,1.3062640660165041,0.6937359339834959,0.989695362913311,1.5625031264068832,0.4374968735931169,0.9879493974698735,1.0501275063753188,0.9498724936246812
cic_iot_diad_2024,mlp,risk_aware_platt_full_b0.01_a0.001,11,0.9636794945183238,0.9286513207309542,0.9637085994913022,0.987386019242359,0.06220696008651842,0.005110745524940806,0.007497988664512126,0.0003729269816068582,0.007497988664512126,3,79980,31993,31992,0.9942110527631908,1.4979619904976245,0.5020380095023756,0.989695362913311,1.9351958381271572,0.06480416187284278,0.9987249362468124,1.0609030451522576,0.9390969548477424
cic_iot_diad_2024,logistic_regression,full,23,0.9197447828393366,0.842924832948941,0.919901091723087,0.9631242604829183,0.12998749352402705,0.0027363882715376008,0.007310613903350619,0.00017735058781154862,0.007310613903350619,3,79980,31993,31992,0.9966741685421355,1.635096274068517,0.36490372593148285,0.9933470061527687,1.9933470061527687,0.006652993847231254,1.0,1.2769888494424722,0.7230111505575278
cic_iot_diad_2024,logistic_regression,risk_aware_full_b0.01_a0.001,23,0.9197447828393366,0.842924832948941,0.919901091723087,0.9631242604829183,0.12998749352402705,0.0027363882715376008,0.007256568725299809,0.00016946403343549388,0.007256568725299809,3,79980,31993,31992,0.9966741685421355,1.635096274068517,0.36490372593148285,0.9933470061527687,1.9933470061527687,0.006652993847231254,1.0,1.2769888494424722,0.7230111505575278
cic_iot_diad_2024,logistic_regression,platt_full,23,0.9187744540980933,0.8388206745979175,0.918834961807117,0.9687993128123762,0.1336032776585804,0.019153909204632356,0.007448142035561149,0.00015746853395074922,0.007448142035561149,3,79980,31993,31992,0.9892723180795199,1.5020880220055013,0.4979119779944986,0.9899454754639588,1.7522385073282978,0.24776149267170228,0.9885994299714985,1.252037601880094,0.747962398119906
cic_iot_diad_2024,logistic_regression,risk_aware_platt_full_b0.01_a0.001,23,0.9187744540980933,0.8388206745979175,0.918834961807117,0.9687993128123762,0.1336032776585804,0.019153909204632356,0.007697745686609041,0.00015536008964433138,0.007697745686609041,3,79980,31993,31992,0.9942860715178795,1.59887471867967,0.4011252813203301,0.9899454754639588,1.9358211195037767,0.0641788804962233,0.9986249312465624,1.2620631031551577,0.7379368968448422
cic_iot_diad_2024,random_forest,full,23,0.9789646042721882,0.9584201395277817,0.9789729081771982,0.992662409929793,0.03568732571176509,0.0018021822982181145,0.01415248603868686,0.006817919896836994,0.01415248603868686,3,79980,31993,31992,0.9954863715928982,1.5121155288822206,0.48788447111777944,0.9909709369216148,1.9909709369216146,0.009029063078385273,1.0,1.0334516725836291,0.9665483274163709
cic_iot_diad_2024,random_forest,risk_aware_full_b0.01_a0.001,23,0.9789646042721882,0.9584201395277817,0.9789729081771982,0.992662409929793,0.03568732571176509,0.0018021822982181145,0.013931646244988563,0.005853277486188896,0.013931646244988563,3,79980,31993,31992,0.9954863715928982,1.5121155288822206,0.48788447111777944,0.9909709369216148,1.9909709369216146,0.009029063078385273,1.0,1.0334516725836291,0.9665483274163709
cic_iot_diad_2024,random_forest,platt_full,23,0.9784376795926064,0.9575191659118001,0.9784482371034664,0.9943144602862972,0.037450531449212295,0.0078075202359302025,0.014219392764899776,0.006668535467183514,0.014219392764899776,3,79980,31993,31992,0.9892223055763941,1.1222180545136284,0.8777819454863716,0.9903456555449952,1.2233004852183482,0.7766995147816518,0.9880994049702485,1.0211760588029402,0.9788239411970598
cic_iot_diad_2024,random_forest,risk_aware_platt_full_b0.01_a0.001,23,0.9784376795926064,0.9575191659118001,0.9784482371034664,0.9943144611728558,0.037450531449212295,0.007807520235930197,0.013599490705692628,0.006190976910488729,0.013599490705692628,3,79980,31993,31992,0.9951737934483621,1.5116154038509628,0.4883845961490373,0.9903456555449952,1.9903456555449952,0.009654344455004751,1.0,1.0330766538326916,0.9669233461673084
cic_iot_diad_2024,xgboost,full,23,0.9770256789067772,0.9545816189288209,0.9770350511672949,0.9912228628705703,0.039907852412068665,0.0007943987666747157,0.008538178294637641,0.001092920313550693,0.008538178294637641,3,79980,31993,31992,0.9967491872968242,1.5163665916479119,0.483633408352088,0.9934970736831574,1.9934970736831574,0.006502926316842579,1.0,1.0394269713485673,0.9605730286514326
cic_iot_diad_2024,xgboost,risk_aware_full_b0.01_a0.001,23,0.9770256789067772,0.9545816189288209,0.9770350511672949,0.9912228628705703,0.039907852412068665,0.0007943987666747157,0.00798313244941275,0.0010944123534291467,0.00798313244941275,3,79980,31993,31992,0.9967491872968242,1.5163665916479119,0.483633408352088,0.9934970736831574,1.9934970736831574,0.006502926316842579,1.0,1.0394269713485673,0.9605730286514326
cic_iot_diad_2024,xgboost,platt_full,23,0.9766263169836651,0.9537111620127119,0.9766347210112244,0.9938217983837978,0.03955261201169104,0.0014361802596982772,0.008395816037293799,0.0010301787950001632,0.008395816037293799,3,79980,31993,31992,0.9893848462115529,1.1520380095023757,0.8479619904976244,0.9899954979740884,1.278150167575409,0.7218498324245911,0.988774438721936,1.0259762988149408,0.9740237011850592
cic_iot_diad_2024,xgboost,risk_aware_platt_full_b0.01_a0.001,23,0.9766263169836651,0.9537111620127119,0.9766347210112244,0.9938217983837978,0.03955261201169104,0.0014361802596982772,0.008286807118501488,0.0011346874217483909,0.008286807118501488,3,79980,31993,31992,0.9942985746436609,1.3997499374843712,0.600250062515629,0.9899954979740884,1.7638437296783553,0.23615627032164474,0.9985999299964998,1.0358017900895045,0.9641982099104955
cic_iot_diad_2024,mlp,full,23,0.9621356283441922,0.925816790546726,0.9621712027024991,0.9838175551087689,0.064390763630476,0.0024760201570006753,0.007381772526224763,0.00035970534262108194,0.007381772526224763,3,79980,31993,31992,0.9952363090772693,1.5282070517629407,0.47179294823705925,0.9904707118203191,1.990470711820319,0.009529288179680856,1.0,1.0661283064153209,0.9338716935846793
cic_iot_diad_2024,mlp,risk_aware_full_b0.01_a0.001,23,0.9621356283441922,0.925816790546726,0.9621712027024991,0.9838175551087689,0.064390763630476,0.0024760201570006753,0.007473653413102589,0.00036096315743379756,0.007473653413102589,3,79980,31993,31992,0.9952363090772693,1.5282070517629407,0.47179294823705925,0.9904707118203191,1.990470711820319,0.009529288179680856,1.0,1.0661283064153209,0.9338716935846793
cic_iot_diad_2024,mlp,platt_full,23,0.9615160793687196,0.9242684473622743,0.9615454510907728,0.9869523876199532,0.06440332089470636,0.005099677003032922,0.007485448028473855,0.0003538147035625673,0.007485448028473855,3,79980,31993,31992,0.989697424356089,1.3236809202300575,0.6763190797699424,0.990145565504477,1.592516632484618,0.40748336751538194,0.9892494624731236,1.054952747637382,0.9450472523626181
cic_iot_diad_2024,mlp,risk_aware_platt_full_b0.01_a0.001,23,0.9615160793687196,0.9242684473622743,0.9615454510907728,0.9869523876199532,0.06440332089470636,0.005099677003032922,0.007498982661847213,0.0003744665332398753,0.007498982661847213,3,79980,31993,31992,0.9944736184046011,1.498124531132783,0.5018754688672168,0.990145565504477,1.9319193637136711,0.06808063628632885,0.9987999399969999,1.064503225161258,0.9354967748387419
cic_iot_diad_2024,logistic_regression,full,37,0.9197447828393366,0.842924832948941,0.919901091723087,0.9631242604829183,0.12996725826426006,0.002299354101368712,0.007270489705290537,0.00016496874219461974,0.007270489705290537,3,79980,31993,31992,0.9966741685421355,1.635096274068517,0.36490372593148285,0.9933470061527687,1.9933470061527687,0.006652993847231254,1.0,1.2769888494424722,0.7230111505575278
cic_iot_diad_2024,logistic_regression,risk_aware_full_b0.01_a0.001,37,0.9197447828393366,0.842924832948941,0.919901091723087,0.9631242604829183,0.12996725826426006,0.002299354101368712,0.007275885221649841,0.00014788738848663097,0.007275885221649841,3,79980,31993,31992,0.9966741685421355,1.635096274068517,0.36490372593148285,0.9933470061527687,1.9933470061527687,0.006652993847231254,1.0,1.2769888494424722,0.7230111505575278
cic_iot_diad_2024,logistic_regression,platt_full,37,0.9187991589423896,0.8388774040582805,0.918859983067184,0.9687993128123762,0.13358112527269056,0.01872644018370593,0.009178875552819037,0.00015526173242812698,0.009178875552819037,3,79980,31993,31992,0.9882595648912228,1.4977494373593399,0.5022505626406601,0.9893201940873393,1.74801160522235,0.25198839477764995,0.9871993599679983,1.2475873793689685,0.7524126206310315
cic_iot_diad_2024,logistic_regression,risk_aware_platt_full_b0.01_a0.001,37,0.9187991589423896,0.8388774040582805,0.918859983067184,0.9687993128123762,0.13358112527269056,0.01872644018370593,0.007510449695739747,0.00014953738426799114,0.007510449695739747,3,79980,31993,31992,0.9937234308577144,1.5912353088272069,0.4087646911727932,0.9893201940873393,1.9240908408783952,0.07590915912160472,0.9981249062453122,1.2585129256462824,0.7414870743537176
cic_iot_diad_2024,random_forest,full,37,0.97891454652658,0.9583231082346961,0.9789229056770732,0.9928110308731593,0.035682170060090196,0.0017217678134122463,0.01428787363499044,0.006832085521244282,0.01428787363499044,3,79980,31993,31992,0.9953488372093023,1.51176544136034,0.4882345586396599,0.9906958131159022,1.990695813115902,0.009304186884097844,1.0,1.0330266513325665,0.9669733486674333
